Time: 2023-12-04 14:05:26, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:12:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:12:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:12:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:12:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:12:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:12:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:13:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:13:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:13:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:13:25, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:13:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:13:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:13:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:13:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:13:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:13:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:14:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:14:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:14:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:14:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:14:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:14:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:14:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:14:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:14:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:14:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:15:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:15:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:15:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:15:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:15:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:15:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:15:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:15:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:15:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:15:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:16:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:16:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:16:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:16:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:16:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:16:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:16:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:16:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:16:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:16:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:17:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:17:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:17:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:17:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:17:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:17:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:17:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:17:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:17:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:17:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:18:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:18:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:18:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:18:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:18:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:18:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:18:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:18:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:18:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:18:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:19:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:19:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:19:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:19:25, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:19:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:19:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:19:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:19:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:19:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:19:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:20:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:20:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:20:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:20:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:20:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:20:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:20:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:20:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:20:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:20:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:21:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:21:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:21:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:21:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:21:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:21:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:21:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:21:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:21:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:21:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:22:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:22:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:22:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:22:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:22:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:22:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:22:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:22:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:22:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:22:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:23:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:23:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:23:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:23:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:23:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:23:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:23:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:23:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:23:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:23:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:24:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:24:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:24:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:24:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:24:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:24:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:24:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:24:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:24:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:24:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:25:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:25:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:25:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:25:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:25:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:25:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:25:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:25:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:25:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:25:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:26:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:26:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:26:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:26:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:26:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:26:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:26:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:26:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:26:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:26:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:27:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:27:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:27:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:27:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:27:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:27:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:27:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:27:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:27:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:27:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:28:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:28:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:28:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:28:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:28:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:28:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:28:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:28:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:28:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:28:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:29:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:29:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:29:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:29:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:29:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:29:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:29:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:29:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:29:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:29:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:30:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:30:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:30:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:30:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:30:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:30:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:30:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:30:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:30:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:30:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:31:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:31:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:31:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:31:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:31:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:31:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:31:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:31:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:31:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:31:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:32:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:32:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:32:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:32:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:32:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:32:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:32:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:32:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:32:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:32:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:33:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:33:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:33:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:33:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:33:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:33:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:33:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:33:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:33:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:33:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:34:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:34:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:34:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:34:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:34:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:34:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:34:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:34:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:34:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:34:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:35:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:35:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:35:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:35:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:35:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:35:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:35:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:35:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:35:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:35:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:36:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:36:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:36:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:36:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:36:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:36:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:36:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:36:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:36:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:36:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:37:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:37:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:37:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:37:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:37:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:37:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:37:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:37:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:37:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:37:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:38:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:38:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:38:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:38:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:38:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:38:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:38:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:38:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:38:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:38:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:39:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:39:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:39:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:39:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:39:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:39:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:39:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:39:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:39:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:39:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:40:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:40:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:40:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:40:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:40:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:40:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:40:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:40:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:40:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:40:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:41:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:41:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:41:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:41:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:41:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:41:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:41:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:41:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:41:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:41:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:42:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:42:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:42:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:42:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:42:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:42:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:42:26, Drone ID: 7, Battery Level: 53%
Time: 2023-12-04 14:42:26, Drone ID: 8, Battery Level: 66%
Time: 2023-12-04 14:42:26, Drone ID: 9, Battery Level: 38%
Time: 2023-12-04 14:42:26, Drone ID: 10, Battery Level: 81%
Time: 2023-12-04 14:43:25, Drone ID: 1, Battery Level: 49%
Time: 2023-12-04 14:43:25, Drone ID: 2, Battery Level: 85%
Time: 2023-12-04 14:43:25, Drone ID: 3, Battery Level: 86%
Time: 2023-12-04 14:43:26, Drone ID: 4, Battery Level: 56%
Time: 2023-12-04 14:43:26, Drone ID: 5, Battery Level: 56%
Time: 2023-12-04 14:43:26, Drone ID: 6, Battery Level: 28%
Time: 2023-12-04 14:43:26, Drone ID: 7, Battery Level: 53%
